language,term,system,truth,score
ch,hotels built,已建酒店,酒店建成,0.50
ch,destroyed,已摧毁,销毁,0.40
ch,bonus,奖金,奖励,0.50
ch,key facts found,已发现的关键事实,发现的关键事实,0.93
ch,budget remaining,剩余预算,所剩经费,0.25
ch,pass,通过,过关,0.50
ch,destroyed,已摧毁,销毁,0.40
ch,well done,干得好!,恭喜!,0.00
ch,unlucky,不幸,不走运!,0.40
ch,well done you completed all your objectives for this scenario and got a final score of score,做得好，你已完成此情景下的所有目标，最终得分为 {{SCORE}}。,"干得好,你已完成了这一场景的所有的目标,最后得分为 {{SCORE}},你有资格进入高分排名榜了。",0.64
ch,unfortunately you did not meet the required objectives for this scenario to qualify for high score entry try again or return to the main menu to select a different disaster challenge,很遗憾，您未能满足此情境的所需目标，无法获得高分记录资格。请重试或返回主菜单，选择不同的灾难挑战。,"非常不幸,你没有完成这一场景设定的目标,不能进入高分排名榜。再试一次,或返回主菜单选择另外一个灾害的挑战。",0.38
ch,try again,重试,再试一次,0.33
ch,continue,continue,继续,0.00
ch,development defences,防御开发,发展:防御,0.50
ch,development structures,开发结构,发展:结构,0.75
ch,clearance  preparation,数据准备,清理和准备,0.44
ch,item,条目,项目,0.50
ch,items,条目,项目,0.50
ch,budget,预算,预算经费,0.67
ch,unhoused,无家可归,无家可归者,0.89
ch,housed,托管,有家可归者,0.00
ch,sheltered,受保护的,得到庇护的人数,0.36
ch,start disaster,灾害开始,启动灾害,0.50
ch,the terrain andor object on this tile is different to your last build therefore the cost of this action is different continue,此瓦块上的地形和/或对象与您上一次构建的不同。因此，此操作的成本不同。是否继续？,"这个方块显示的地域或目标与你上次在上面建造房舍的情况不同,这一行动的成本也不一样。继续吗?",0.44
ch,new price,新价格：$,新价格: $,0.86
ch,are you sure,您确定吗？,你确定吗?,0.67
ch,are you sure you wish to quit,您确定要退出吗？,你确定要放弃吗?,0.53
ch,number people,{{NUMBER}} 人,{{NUMBER}} 人的房屋,0.84
ch,build,构建,建造,0.50
ch,number school,{{NUMBER}} 学校,{{NUMBER}} {{SCHOOL}},0.64
ch,build,构建,建造,0.50
ch,number hospital,{{NUMBER}} 医院,{{NUMBER}} {{HOSPITAL}},0.58
ch,number hotels,{{NUMBER}} 家酒店,{{NUMBER}} 酒店,0.95
ch,protect the water tanks,保护水箱,保护储水箱,0.89
ch,retrofit number old buildings,改造 {{NUMBER}} 座旧建筑,翻新 {{NUMBER}} 座建筑物,0.79
ch,protect the wells by covering them up,覆盖井以保护井,盖住水井保护水源,0.53
ch,max budget,最大预算,最高预算,0.75
ch,max damage,最大损害,最大伤害,0.75
ch,approximately,大约,大约 离灾难到来还有,0.33
ch,until disaster,直至灾难,直到灾难,0.75
ch,credits,学分,积分,0.50
ch,game developed by,游戏开发者,开发的游戏,0.40
ch,the top bar,顶部栏,顶栏,0.80
ch,the information panel,信息面板,信息栏,0.57
ch,the objective of stop disasters is to save lives choose a scenario and try to build upon an established community providing defences and upgraded housing to prepare for the inevitable disaster,Stop Disasters的目标是挽救生命。选择一个情境，并尝试在已建立的社区之上进行建设；提供防御和升级住房，为不可避免的灾害做准备。,"""停止灾害""这个游戏的目标是挽救人们的生命。请选择一个场景,改进一个已有的社区,为这一社区居民提供防御设施,并对住房进行升级,以为无法避免的灾害的来临做好准备。",0.46
ch,the top bar shows all the key facts youve collected along with a recap of the mission orders and a map in the overview section you can press the arrow for in game options and if you finish your mission objectives early you may speed up time with the start disaster button on the right,顶部栏,"顶栏显示了所有你所收集到的关键事实,同时""概览""部分提供了任务命令的扼要重述和一张地图。你可以点击箭头来选择游戏选项,如果你提前完成任务的话,你可以点击右边的""启动灾害""按钮来加快游戏时间。",0.04
ch,the information panel shows important statistics about your population and budget along with a mini map and a vital probability indicator this indicator is your best guess at when the disaster is going to hit keep an eye on it,信息面板,"信息栏显示了关于你的人口和预算经费的数据,同时还提供了一份迷你地图和一个至关重要的""概率""指示器。这一指示器能够使你猜测一个灾害最有可能在什么时间来临。请关注这一指示器。",0.05
ch,this is where the majority of your interaction will take place everything is controlled with the mouse and is designed to be as easy as possible clicking on any tile will bring up the tile clicker  a contextsensitive selection of the options that are available try clicking on different tiles to find out what actions are available some options cause popups or panels to come into view these will give you information or allow you to perform further actions on the selected tile,瓦片点击器,"这里是你的交互活动的大部分将要发生的地方。一切由鼠标来进行控制,操作方法简单。点击任何方块都会出现""方块点击""标志,对情景敏感度进行可行性选择。请点击不同的方块来找出有哪些行动可供选择。点击有些选项会跳出一些小窗口或小方块,这些会给你提供一些信息或使你能够在所选择的方块上采取进一步的行动。",0.03
ch,many experts and organisations participated in the content and the making of this game undrr secretariat would like to thank particularly • ana trehoan expert on education • charles kelly disaster management expert for the flood and hurricane scenario • johann g goldammer from the global fire monitoring center gfmc • fire ecology research group freiburg university  united nations university unu freiburg germany for the wildfire scenario • scott kiser and dennis feltgen national weather service tropical cyclone program leader for the hurricane scenario • laura s l kong director unescoioc international tsunami information centre honolulu for the tsunami scenario • melanie ashby from emergency management australia for the wildfire scenario and the pilot testing • brigitte leoni terry jeggle and many other undrr colleagues for their constant help support and useful remarks many organisations which supported the initiative from the beginning such as • m rimjhim from southern eastern efforts developing sustainable spaces india • the international federation of red cross and red crescent societies • action aid • the united states agency for international development • the united nations educational scientific and cultural organisation • the center for research on the epidemiology of disasters • jacques faye from the french ministry of ecology and sustainable development with thanks to the following people for the use of their photographs kevin conners michelle kwajafa carlos and leah and last but not least playerthree in particular pete everett and david streek,致谢,"Many experts and organisations participated in the content and the making of this game. UNDRR secretariat would like to thank particularly: • Ana Trehoan, expert on education; • Charles Kelly, Disaster Management Expert for the flood and hurricane scenario; • Johann G. Goldammer, from the Global Fire Monitoring Center (GFMC); • Fire Ecology Research Group, Freiburg University / United Nations University (UNU) Freiburg, Germany, for the wildfire scenario; • Scott Kiser, and Dennis Feltgen, National Weather Service, Tropical Cyclone Program Leader for the hurricane scenario; • Laura S. L. Kong, Director, UNESCO/IOC International Tsunami Information Centre, Honolulu, for the tsunami scenario; • Melanie Ashby, from Emergency Management Australia, for the wildfire scenario and the pilot testing; • Brigitte Leoni, Terry Jeggle and many other UNDRR colleagues for their constant help, support and useful remarks. Many organisations, which supported the initiative from the beginning, such as: • M. Rimjhim from Southern Eastern Efforts Developing Sustainable Spaces, India; • The International Federation of Red Cross and Red Crescent Societies; • Action Aid; • The United States Agency for International Development; • The United Nations Educational, Scientific and Cultural Organisation; • The Center for Research on the Epidemiology of Disasters; • Jacques Faye from the French Ministry of Ecology and Sustainable Development. With thanks to the following people for the use of their photographs: Kevin Conners, Michelle Kwajafa, Carlos and Leah. And last but not least Playerthree, in particular Pete Everett and David Streek.",0.00
ch,are you sure you will lose your progress,您确定吗？您将失去进度。,你确定吗? 你将失去进步。,0.67
ch,if trained well the staff will be better prepared to protect occupants during disasters,如果培训充分，工作人员将更好地准备好在灾难期间保护居住者。,"经过适当培训,员工就能更好地为在灾害中保护人员安全做好准备。",0.31
ch,1 week course,一周课程,一周的培训,0.44
ch,the stop disasters educational packs can be handed out to the pupils to increase disaster awareness and encourage safe practices,‘Stop Disasters’教育包,"将""阻止灾害""教育材料分发给小学生,增强他们的灾害意识,鼓励安全实践。",0.08
ch,stop disasters,停止灾害,阻止灾害,0.75
ch,disaster awareness courses run over a 2 week period by an expert on disaster reduction pupils that attend will have a better chance of survival during emergencies,灾害意识培训班,"灾害意识课程为期两周,由减灾专家教授,参加培训的小学生在紧急情况下增加了逃生的机会。",0.26
ch,2 week course,两周课程,2周培训,0.25
ch,traditionally in this region houses will be either flat footed resting directly on the ground or have shallow foundations less than 1m deep shallow foundations are easily scoured away by a tsunami wave and by the water as it retreats thus enormously weakening the structure deep foundations 23m are more expensive but offer superb resistance to wave scouring and provide inherently strong structures,浅基础,"传统上,这个地区的房屋直接建在平地上,或者建在不足1米深的浅地基上。浅地基的房屋很容易被海啸冲垮,或者,在海啸退潮时,受到破坏。2-3米的深地基造价昂贵,但能有效抵挡海浪冲击,内部结构结实。",0.04
ch,foundations,基础,地基,0.50
ch,reinforce the structure of the building to make it more resistant to possible damage in the event of disaster,建筑结构加固,加固的建筑物的结构可以在灾害发生时保护住户。,0.29
ch,building reinforcement,建筑加固,建筑物加固,0.89
ch,signs can save lives when people are rushing to evacuate a location,疏散标识,"信号能够在人们快速撤离,挽救生命。",0.00
ch,evacuation signs,疏散标志,撤离信号,0.00
ch,organise drills and simulation exercises,组织演练和仿真演习,组织演习和模拟练习。,0.53
ch,evacuation training,疏散训练,撤离培训,0.25
ch,local alarms with sirens or loudspeakers can be the most basic and quickest way to alert people in time to take evasive action,本地警报系统,"当地使用警报器或喇叭,是最基本和快捷的警报方式,及时警告居民撤离。",0.16
ch,local alarm system,本地报警系统,当地警报系统,0.67
ch,telecommunications solution for issuing warning messages,用于发出警报信息的电信解决方案,电信方案可以发布预警信息,0.30
ch,securing any electrics throughout the building can lower the risk of fires starting and causing the building to collapse from the fire,电气火灾安全措施,保护建筑物中所有的电气设备能降低其他火灾的风险。,0.25
ch,protect electrics,电气保护,保护电气设备,0.40
ch,secure any loose fittings in and around the house to prevent injury from falling debris however if the whole house collapses this will be no use,固定松动配件,"加固屋内外松散的设备(装置),以防坠落物砸伤。但如果整个房屋倒塌了,这个措施没什么用。",0.09
ch,secure fittings,安全接头,安全的设备,0.44
ch,applying seismicresistant structural measures improves the resilience of buildings during disasters,抗震加固,用抗震的结构性措施来提高建筑物的抗震能力。,0.16
ch,retrofit the building,建筑升级改造,翻新建筑物,0.36
ch,high windsearthquakes often will bring down power lines and telecommunications structures so it is important for them to be reinforced,抗风抗震加固,"强风/地震经常会损坏电缆和通信设施,因此加固这些设施非常重要。",0.23
ch,anchor heavy item,锚点重物,加固硬设施,0.00
ch,securing electrical systems can help to prevent costly electrical repairs after the floods,加强电气系统的安全可以帮助防止洪水后昂贵的电气维修。,安全的电气系统能避免洪水后昂贵的修理费。,0.52
ch,raise heating and electrics,升降机供暖与电力,提升供暖和电气设备,0.47
ch,raising the building 13m from the ground hugely increases its integrity against flood waters allied with good foundations the building will allow much of the waters power to pass beneath it resulting in less damaging flooding,将建筑物抬高1-3米可以大幅提升其对洪水的完整性。与良好基础相结合，建筑物将允许大量水力通过其下方，从而减少破坏性洪水。,"将建筑物从地面垫高1-3米,在海啸袭击时,能极大增强其稳固性,加上优良的地基,能够经受从建筑物底层通过的海浪的压力 ,从而减少洪水的破坏。",0.39
ch,raised building,高架建筑,升高建筑物,0.67
ch,asphalt roof,沥青屋顶,...,0.00
ch,clay roof,陶瓦屋顶,...,0.00
ch,metal rooves provide good heat resistance with the addition of being very strong can withstand shocks from falling debris making the risk of irreparable building damage during wildfire much less,金属屋顶,"金属屋顶隔热性好,很坚固,抗撞击能力强,能经受住倒坍废墟的撞击,减少野火给房屋造成的不可修复的损坏。",0.16
ch,roof sprinkler,屋顶喷淋装置,屋顶洒水装置,0.67
ch,simply mounting a sprinkler to your roof and providing a steady water supply can soak the roof vastly improving its fire resistance,屋顶喷淋系统,"如果供水稳定,在屋顶简单地装备一个洒水器,倘若有稳定的水供应,湿透的屋顶能够极大地提高防火性。",0.08
ch,metal shutters,金属百叶窗,金属遮挡板,0.40
ch,heat resistant and equally hard wearing against falling debris and embers great protection all round,高温防护服,"隔热,对于坠落的瓦砾和废墟等具有抗撞击性和耐磨损性,能提供全方位的保护。",0.05
ch,plywood shutters,胶合板百叶窗,...,0.00
ch,glass shutters,玻璃百叶窗,...,0.00
ch,wire shutters,钢丝百叶窗,...,0.00
ch,ladder  hose,梯架与软管,梯子和水管,0.40
ch,providing a ladder and hose for the residents and soaking the roof can mean that extra few minutes for the people to get out alive or for the fire services to arrive,为居民提供梯子和水管，并浇灌屋顶，可能意味着多几分钟，让人们活着逃离或消防服务抵达。,"给住户提供一个梯子和一根水管, 将屋顶喷湿,意味着为住户逃生或者为消防人员到来前多争取几分钟时间。",0.38
ch,building reinforcements,建筑结构加固,建筑物加固,0.73
ch,reinforce the structure of the building to help protect its occupants in the event of disaster,建筑结构加固,加固的建筑物的结构可以在灾害发生时保护住户。,0.29
ch,water tank protection,水箱保护,保护储水器,0.44
ch,you can protect your water tanks using fire resistant materials,使用防火材料保护您的水箱,你可以使用防火材料保护储水容器。,0.64
ch,remove fuel sources,消除燃料源,移走燃料源,0.60
ch,excessive accumulation of fuel sources such as branches and debris around your home can catch fire,燃料负荷过高,"在房屋四周大量堆积燃料源,如树枝和废弃物等,易引发火灾。",0.12
ch,water source upgrade,水源改进,保护水资源,0.44
ch,covering the well securely will reduce the possibility of the water source being contaminated,井盖,"将井盖好,能减少水源被污染的可能性。",0.21
ch,securing the roofing strengthens the roof of a house to withstand hits from falling debris,屋顶抗撞击,"加固屋顶,可经受坠落瓦砾的撞击。",0.40
ch,sewer backflow,污水倒流,下水道回流,0.44
ch,flooding can cause sewage to back up into the house causing damage that is difficult to repair and creating health hazards the sewer backflow valve prevents this,污水回流阀,"洪水可能导致下水道污水回流,导致难以修复的损坏,危害健康。下水道回流阀可以防止这种情况的发生。",0.20
ch,storm shutters,防风百叶窗,暴风雨遮挡窗,0.36
ch,storm shutters provide some protection against the strong winds of a hurricane,防风百叶窗,"暴风雨遮挡窗能够提供一些保护,抵御飓风带来的强风袭击。",0.13
ch,secure boats and maritime industries,安全船舶与海事产业,保证船只和海运业的安全,0.20
ch,when they are wellsecured boats will have a better chance to remain anchored and to suffer less damage,当船只被妥善固定时，它们更有可能保持停泊状态并减少损坏。,"如果船只受到安全保护,才有更好的机会保持抛锚停泊,并减少损失。",0.42
ch,waterproof sealant,防水密封剂,防水密封胶,0.80
ch,the waterproofing of buildings is a great way to secure a building from water leaking in and causing water damage to the interior,建筑防水,房屋的防水性是预防漏水、屋内受损的很好的安全方式。,0.14
ch,it is very expensive to build anything in the ocean,海上建设成本高,在海洋中建造任何设施都会非常昂贵。,0.25
ch,ocean waves,海洋波浪,海浪,0.67
ch,it is very expensive to build anything in the ocean,海上建设成本高,在海洋中建造任何设施都会非常昂贵。,0.25
ch,sand,沙子,沙地,0.50
ch,sand is a difficult surface to develop buildings on but it is the only place you can create sand dunes for defence,沙子,"在沙地上建造房屋相当困难,你只能用沙丘进行防御。",0.08
ch,sand,沙子,沙地,0.50
ch,sand is a difficult surface to develop buildings on,砂,沙子是难以在其上发展建筑物的表面。,0.00
ch,grass,草,草地,0.67
ch,standard grass is easy to build on,标准草地易于在其上建造。,在标准的草地上很容易建造房屋。,0.59
ch,the only place where mangroves can grow and be planted building is impossible here,红树林,浅水是唯一可以种植生长红树林的地方。在浅水上不可能建造任何建筑物。,0.17
ch,rocky land is expensive to build on but is possible and usually stable if pursued,岩石地形,"在岩石地带建造房屋成本很高,但还是有可能在此建造房屋的,如果建起来的话,房屋通常都很牢固、稳定。",0.12
ch,light mud,轻泥,松软的泥浆,0.29
ch,light mud,轻泥,松软的泥浆,0.29
ch,mud,泥,泥浆,0.67
ch,mud,泥,泥浆,0.67
ch,building near water sources is sensible as these are the best firebreak,在靠近水源处建造是明智的，因为它们是最佳的防火屏障。,"在水资源附近修建筑物是理智的做法,因为这是最好的防火道。",0.53
ch,arid ground,干旱地,旱地,0.80
ch,dried and hard baked earth,烧结土,干旱及干涸地,0.00
ch,burnt land,烧毁地区,干焦地,0.29
ch,charred land from a previous forest fire in this area,碳化土地,一次森林火灾烧焦土地。,0.27
ch,coral is a good natural breakwater that is additionally a great attraction to tourists,珊瑚是一种很好的天然防波堤，也是游客的主要景点。,"珊瑚是一种很好的、天然的防波堤,又很受游客喜爱。它们也能有效抗击一部分海啸巨浪的冲击。",0.52
ch,expensive to clear and prepare,高昂的清理和准备费用,清理岩石准备建造房屋成本较高。,0.32
ch,expensive clearance costs,高额清关费用,清理岩石准备建造房屋成本较高。,0.10
ch,a school provides education and also provide a central meeting point or refuge during a disaster,学校灾害避难所,"学校是教育场所,但在灾害发生时也能够作为一个中心集会场所或避难所。",0.36
ch,when people are injured during a disaster they will be transported here make sure you locate this carefully and safely,医疗疏散点,"当人们在灾难中受伤时,会被运送到这里来。确保把医院建在一个安全的地方。",0.05
ch,the community centre is a focal point for all activity involving the community it is also the location for the early warning system and provides shelter for evacuation plans,社区中心,"社区中心是所有与社区有关的活动中心,也是设置预警系统的地点,疏散计划的避难场所。",0.19
ch,people,人,人的房屋,0.40
ch,people,人,人的房屋,0.40
ch,earthquake strikes,地震,地震爆发!,0.67
ch,earlier today an earthquake hit this mediterranean town the force of the earthquake caused buildings to collapse causing significant financial loss people who knew what to do when earthquakes strike managed to better protect themselves a survivor reported i got to the community centre as soon as i could it was already buzzing with people a good sign the warning systems did their job although the earthquake was powerful because of investment in retrofitting buildings the damage and financial loss was minimised most recent estimates show the death toll has raised to deathtoll and a further injurytoll seriously injured comment outcome,地震,"今天一早,在地中海东部的这个小镇发生了一场地震。地震造成建筑物的倒坍,带来了巨大的经济损失。那些懂得如何应对地震的人们能够更好的保护自己。一名幸存者说""我飞快地跑到社区中心,那儿已经挤满了人,这表明预警系统起到了作用。"" 尽管地震非常猛烈,但由于投资翻新了房屋,受到的破坏和经济损失都有所降低。根据最新的估计,死亡人数已增加到{{DEATHTOLL}}另外还有{{INJURYTOLL}}(人)伤势严重{{COMMENT}}{{OUTCOME}}",0.02
ch,earlier today an earthquake hit this mediterranean town the earthquake came with no warning to the residents so they had to flee from their homes if they could a survivor reported we have a community centre designed to shelter people as its a known hot spot for earthquakes but there was no warning whatsoever homes in this small community suffered enormous damage currently estimated at cost most recent estimates show the death toll has raised to deathtoll and a further injurytoll seriously injured comment outcome,地震,"今天凌晨,地中海东部的这个小镇发生了地震。 地震发生时没有任何警告,所以人们只能尽可能地逃离房屋。 一名幸存者说:""我们知道地震即将到来,我们有一个指定的社区中心作为避难所,但当时没有任何警告。""小社区的房屋遭到严重破坏,损失估计为{{COST}} 最新估计。 增加到{{DEATHTOLL}}和{{INJURYTOLL}}(人)受重伤{{COMMENT}}{{OUTCOME}}",0.02
ch,questions are already being asked about the local hospitals poor planning which may have led to its destruction and the loss of many patients,已有人开始质疑当地医院的糟糕规划，这可能导致其被毁并导致许多患者失去生命。,"地方医院的不周到的规划已受到质疑,这将导致医院本身的被毁,许多患者丧失生命。",0.52
ch,this small community suffered further loss when the local school was inundated by the waves many children who were sheltering within are reported still missing,这个小社区在当地学校被浪潮淹没后又遭受了进一步的损失。许多在内部避难的孩子仍被报告失踪。,"由于当地的学校被洪水淹没,这个小社区进一步遭受了损失。据报道,许多在此避难的孩子仍然下落不明。",0.47
ch,our community has been hit hard by these earthquakes however we should thank our recently appointed town planner for the measures that were introduced they have saved many lives,我们的社区因这些地震受到严重影响。然而，我们应该感谢最近任命的镇规划师所采取的措施。它们挽救了许多生命。,"我们的社区受到了地震的严重打击,但我们要感谢新任命的城市规划者通过采取一些措施来挽救许多生命。",0.59
ch,we have launched a full investigation into the poor planning our recently appointed town planner has been suspended pending the results of the report,我们已经就糟糕的规划启动了全面调查。我们最近任命的城市规划师已被暂停，直至报告结果公布。,"我们已对薄弱设施进行全面调查。在调查报告出来之前,我们近期任命的规划师已被勒令停职。",0.49
ch,trees,树,树木,0.67
ch,trees often fall during earthquakes creating excessive damage costs to surrounding buildings,地震树木倒伏,"树经常会在地震的时候倒塌,而且会对周围的建筑造成损害。",0.19
ch,small wooden huts provide little protection against earthquakes on their own but are sometimes safer as they do not kill people when they collapse,小型木屋,"小木屋本身在地震发生时提供不了什么保护。但因为它们在倒塌时不致砸死人,有时候倒更为安全。",0.13
ch,brick cottage,砖质小屋,小砖房,0.29
ch,brick cottages provide better protection against earthquakes but its advisable to build additional defences,砖砌小屋在抗震方面提供更好的保护，但建议加建额外的防御措施。,"在地震发生时小砖房能提供更多的保护,但最好建造一些额外的防御设施。",0.52
ch,old house,旧住宅,老房子,0.00
ch,old buildings require upgrades to stand a chance of survival,老建筑需要升级，以提高其生存机会。,"老的建筑需要进行更新,以便在灾难中增加幸存的机会。",0.49
ch,old town house,旧城区住宅,老的城镇住宅,0.55
ch,old buildings require upgrades to stand a chance of survival,老建筑需要升级，以提高其生存机会。,"老的建筑需要进行更新,以便在灾难中增加幸存的机会。",0.49
ch,old terraced house,旧排屋,老的连栋住宅,0.00
ch,old buildings require upgrades to stand a chance of survival,老建筑需要升级，以提高其生存机会。,"老的建筑需要进行更新,以便在灾难中增加幸存的机会。",0.49
ch,town house,联排别墅,连栋房屋,0.00
ch,new buildings with quality construction and additional upgrades such as firm foundations have a much better survival rate than older buildings,高质量建筑,"质量优良的新建筑,可以额外升级,如稳固的地基,在灾害发生时比老建筑幸免于难的机率更大。",0.18
ch,large house,大型住宅,大房子,0.29
ch,new buildings with quality construction and additional upgrades such as firm foundations have a much better survival rate than older buildings,高质量建筑,"质量优良的新建筑,可以额外升级,如稳固的地基,在灾害发生时比老建筑幸免于难的机率更大。",0.18
ch,apartments hold a large number of people so should be well constructed and protected,公寓楼,"公寓中有很多住户,所以应该建筑质量良好并且得到很好的保护。",0.13
ch,church,教会,教堂,0.50
ch,a church can be upgraded like any other building,教堂可以像其他任何建筑一样升级。,教堂和其他任何建筑一样可以进行升级。,0.76
ch,superior quality with modern fittings and furnishings but very expensive,豪华,"质量优良,具有现代装备,但成本昂贵",0.00
ch,pylon,输电塔,高压电缆塔,0.50
ch,pylons carry electricity to nearby buildings,高压塔,电缆塔将电输送到建筑物中。,0.12
ch,commercial block,商业区块,商业区,0.86
ch,commercial blocks hold many people and are important to the local economy so must be adequately protected,商业街区,"商业区中人员活动频繁,对地方经济很重要,所以应该受到足够的保护。",0.18
ch,power stations provide electricity to all houses in the area so it is an important community resource to be protected,发电站,"发电站为这一地区所有的房子提供电力,它是一个重要的社区资源,应该加以保护。",0.16
ch,hello,你好！,你好!,0.80
ch,this mediterranean city is in a region affected by earthquakes the city has a population of population people who rely on agriculture service activities and tourism for their livelihoods you have to protect as many people buildings and livelihoods as you can against a possible earthquake…,这座地中海城市位于受地震影响的地区。该市人口为 {{POPULATION}} 人，主要靠农业、服务业和旅游业谋生。你需要尽可能多地保护人、建筑和生计免受可能发生的地震影响……,"这一地中海地区的城市易遭地震袭击,这个城市有 {{POPULATION}} 人口,依靠农业、服务业和旅游业为生。在可能发生的地震灾害中,你要极尽所能多地保护生命、建筑和财产。",0.52
ch,your challenge is to provide accommodation to target people build hospitals hospital and schools school there is also a need to retrofit at least 10 old buildings for more safety,灾后重建,"面临的挑战是安排{{TARGET}}个住宿,建造{{HOSPITALS}}{{HOSPITAL}}和{{SCHOOLS}}{{SCHOOL}},并翻新至少{{HOTELS}}栋旧建筑物以增加其安全性。",0.03
ch,think about what you can do to better protect people and their properties against earthquakes you have a choice of housing and also many upgrades and defences are available choose the best options and save as many people as you can…,地震加固,"考虑一下在地震中你如何保护生命和财产安全。你可以选择不同的住房类型、多种升级和防御方案。选择最佳方案,尽可能多地挽救生命。",0.06
ch,you have a budget of budget and around time minutes to work an earthquake will strike and then it will be too late good luck,你有 ${{BUDGET}} 的预算，约 {{TIME}} 分钟可用。地震将会发生，然后就会来得太迟。祝你好运！,"你有{{BUDGET}}的预算,大约还有{{TIME}}分钟的时间准备。地震马上来临,快来不及了!祝好运",0.57
ch,crowded locations of poorly constructed buildings with high occupancy increase the vulnerability of people to earthquakes collapsing buildings kill most people during earthquakes,城市地震脆弱性,"劣质、拥挤、居住人口密集的建筑在地震中人们非常脆弱,房屋倒塌会造成大数人死亡。",0.18
ch,it is important to consider local soil and geographical conditions like slopes when constructing buildings to protect them better from possible earthquakes or landslides remember to use the risk map to help identify areas most prone to earthquake dangers,地震风险评估,"为更好地保护建筑物免遭可能的地震或山体滑坡的损害,在建造房子时考虑当地的土壤和地理条件,比如斜坡,是很重要的。记得用风险地图找出那些最易发生地震的地带。",0.10
ch,residential structures constructed with heavy roofs poor foundations made of poor quality or constructed only with earth rubble and unreinforced cement or adobe blocks are more vulnerable to damage,非钢筋砌体建筑,房顶厚重、地基不深、质量低劣或者只用泥土、瓦砾、未加钢筋的水泥或砖坯建造的住所更易受到损坏。,0.11
ch,evacuation plans are important for saving lives signs can show people the way to safer locations and building safety drills practice quick evacuation from buildings as you have installed a public awareness programme an evacuation plan now will be available,疏散计划,"疏散计划很重要,事关生命安危。标志可以向人们指明通往安全地带,安全训练能够使人们尽快撤离建筑物。当你已设置了一个公众意识项目时,疏散计划就可供使用了。",0.11
ch,identify the earthquake resistance of all highuse and highoccupancy buildings and undertake systematic strengthening of them through structural improvements retrofitting,识别所有高使用率和高占用率建筑的抗震性能，并通过结构改进（加固）系统地进行加固。,"对使用率高和居住密度高的建筑要进行抗震性能检查,并改进结构,对建筑物进行系统性加固(重新装配)。",0.43
ch,ensure that all new buildings comply with building codes related to local seismic requirements make all new construction safe and be sure to protect critical structures such as hospitals and those used by emergency services electricity energy telecommunications water waste and transport facilities,新建筑地震规范合规,"确保所有新建的建筑物都符合与当地的抗震要求有关的建筑法规,确保所有的新建筑都安全,保护好关键性设施,比如医院和紧急服务设施,包括电力、能源、电信、水、废物处理和交通设施的安全。",0.06
ch,a risk map can show which areas are most exposed to different types of disasters if a community makes its own risk map the people can learn more about the safer places to live or build,风险地图,"一张风险地图能够显示出哪些地区最易受何种灾害的侵袭。如果一个社区制作一张自己的风险地图,人们能够更加清楚在哪些地方居住或建房子是安全的。",0.11
ch,upgrading buildings can improve their safety and protect the occupants better by exploring different building techniques to upgrade each building you can reduce the possibility of loss and damages often simple measures can provide important protection,建筑加固,"对建筑进行升级会使他们更加安全,更好地保护居民。通过研究不同的建筑升级技术,你可以减少受到损失和损坏的可能性。通常简单的措施就能提供重要的保护。",0.08
ch,earthquakes can trigger serious fires to reduce the impacts of earthquakes regularly inspect electrical wiring and gas connections in buildings or other potential fire risks,地震可能引发严重火灾。为减少地震造成的影响，请定期检查建筑物中的电线和燃气管道或其他潜在火灾风险。,"地震会引发严重的火灾。为了减少地震的影响,要定期对建筑物中的电线设施和煤气管道以及其他一些潜在的火灾隐患进行检查。",0.70
ch,while schools and hospitals provide important education and medical help they can also become important meeting and shelter points nearly everyone in a community knows where they are so can get to them quickly they should always be constructed in a safe way and located in safer areas,社区设施,"学校和医院提供重要的教育和医疗帮助,它们同时也可以作为重要的集会地和避难所。几乎社区的每一个人都知道学校和医院在哪,所以他们可以很快到达这些地方。学校和医院应该设计安全可靠,建在安全的地带上。",0.06
ch,the design of large buildings is important to protect them from earthquake damage they should be square and without extensions or poorly supported wings have solid foundations and be properly reinforced or strengthened according to construction methods special earthquake protection building techniques can also be used,大型建筑抗震设计,"对大型建筑物的抗震设计非常重要,以减少地震的损害。它们应该四四方方的,不应该带有延伸结构,或连接不结实的""侧翼""。它们得有稳固的地基,并且根据建筑方法来进行加固和增强。也可以使用一些特别的抗震建筑技术。",0.16
ch,knowing what to do when an earthquake occurs can save peoples lives simple actions such as getting under a table or standing against an inside wall away from glass windows or from where heavy furniture could fall over can reduce injuries,知道地震发生时该怎么做可以挽救人们的生命。简单的行动，如躲在桌子下面或站在内部墙壁旁，远离玻璃窗或可能会倒塌的重家具，能够减少伤害。,"在地震发生时知道应该怎么做可以拯救很多人的生命。一些简单的行动,比如钻到桌子底下或靠着房子内墙站立、远离玻璃窗和可能倒下的重家具,能够减少伤亡。",0.68
ch,public knowledge about living in an earthquake zone is important so people can identify potential hazards before they happen and can plan in advance what to do to save lives and reduce injuries,公众关于居住在地震区的知识,"公众知道他们住在地震带上很重要,这样在地震发生前人们可以发现潜在的风险,提前做好计划,以挽救生命,减少伤亡。",0.22
